trial_id,scenario,traffic_multiplier,corridor,vehicle_id,vehicle_name,battery_capacity,efficiency,start_soc,time_mode,traffic_level,route_length,greedy_success,greedy_trip_time,greedy_charging_cost,greedy_stops,greedy_distance,greedy_status,cheapest_success,cheapest_trip_time,cheapest_charging_cost,cheapest_stops,cheapest_distance,cheapest_status,fastest_success,fastest_trip_time,fastest_charging_cost,fastest_stops,fastest_distance,fastest_status,smart_success,smart_trip_time,smart_charging_cost,smart_stops,smart_distance,smart_status,ml_smart_success,ml_smart_trip_time,ml_smart_charging_cost,ml_smart_stops,ml_smart_distance,ml_smart_status,ablation_dist_success,ablation_dist_trip_time,ablation_dist_charging_cost,ablation_dist_stops,ablation_dist_distance,ablation_dist_status,ablation_dist_traffic_success,ablation_dist_traffic_trip_time,ablation_dist_traffic_charging_cost,ablation_dist_traffic_stops,ablation_dist_traffic_distance,ablation_dist_traffic_status,ablation_dist_traffic_price_success,ablation_dist_traffic_price_trip_time,ablation_dist_traffic_price_charging_cost,ablation_dist_traffic_price_stops,ablation_dist_traffic_price_distance,ablation_dist_traffic_price_status
1,Low,0.5,Delhi-Jaipur,tata_punch,Tata Punch EV,35.0,6.0,70.5,peak,4,285.8,1,395.0,580.0,6.0,336.23170527569556,ok,1,367.0,451.0,3.0,325.8652099838064,ok,1,326.0,486.0,3.0,303.6633723569006,ok,1,338.0,472.0,3.0,310.5136106817745,ok,1,338.0,472.0,3.0,310.5136106817745,ok,1,331.0,426.0,2.0,307.7079034865492,ok,1,331.0,426.0,2.0,307.7079034865492,ok,1,331.0,426.0,2.0,307.7079034865492,ok
2,Low,0.5,Delhi-Jaipur,bmw_ix1,BMW iX1,66.5,5.0,78.4,peak,10,285.8,1,316.0,444.0,4.0,333.36820371119916,ok,1,334.0,332.0,1.0,285.8577943692712,ok,1,262.0,499.0,2.0,303.60557798762943,ok,1,238.0,440.0,1.0,288.60570719522525,ok,1,238.0,440.0,1.0,288.60570719522525,ok,1,334.0,332.0,1.0,285.8577943692712,ok,1,238.0,440.0,1.0,288.60570719522525,ok,1,238.0,440.0,1.0,288.60570719522525,ok
3,Low,0.5,Delhi-Jaipur,kia_ev6,Kia EV6,77.4,5.6,86.1,night,8,285.8,1,215.8,0.0,0.0,285.8,ok,1,215.8,0.0,0.0,285.8,ok,1,215.8,0.0,0.0,285.8,ok,1,215.8,0.0,0.0,285.8,ok,1,215.8,0.0,0.0,285.8,ok,1,215.8,0.0,0.0,285.8,ok,1,215.8,0.0,0.0,285.8,ok,1,215.8,0.0,0.0,285.8,ok
4,Low,0.5,Delhi-Jaipur,kia_ev6,Kia EV6,77.4,5.6,89.7,normal,2,285.8,1,215.8,0.0,0.0,285.8,ok,1,215.8,0.0,0.0,285.8,ok,1,215.8,0.0,0.0,285.8,ok,1,215.8,0.0,0.0,285.8,ok,1,215.8,0.0,0.0,285.8,ok,1,215.8,0.0,0.0,285.8,ok,1,215.8,0.0,0.0,285.8,ok,1,215.8,0.0,0.0,285.8,ok
5,Low,0.5,Delhi-Jaipur,hyundai_ioniq,Hyundai Ioniq 5,72.6,5.8,73.3,peak,5,285.8,1,237.0,168.0,1.0,295.10456423953116,ok,1,303.0,330.0,1.0,285.8577943692712,ok,1,244.0,230.0,1.0,300.7998707924042,ok,1,242.0,443.0,1.0,288.60570719522525,ok,1,242.0,443.0,1.0,288.60570719522525,ok,1,303.0,330.0,1.0,285.8577943692712,ok,1,303.0,330.0,1.0,285.8577943692712,ok,1,303.0,330.0,1.0,285.8577943692712,ok
6,Low,0.5,Delhi-Jaipur,byd_atto3,BYD Atto 3,60.48,5.4,74.3,peak,7,285.8,1,318.0,460.0,4.0,333.36820371119916,ok,1,304.0,334.0,1.0,285.8577943692712,ok,1,270.0,505.0,2.0,303.60557798762943,ok,1,245.0,447.0,1.0,288.60570719522525,ok,1,245.0,447.0,1.0,288.60570719522525,ok,1,304.0,334.0,1.0,285.8577943692712,ok,1,304.0,334.0,1.0,285.8577943692712,ok,1,304.0,334.0,1.0,285.8577943692712,ok
7,Low,0.5,Delhi-Jaipur,mg_zs,MG ZS EV,50.3,5.2,80.2,normal,1,285.8,1,345.0,557.0,5.0,336.1739109064244,ok,1,297.0,307.0,1.0,285.8577943692712,ok,1,280.0,461.0,2.0,303.60557798762943,ok,1,254.0,405.0,1.0,288.60570719522525,ok,1,254.0,405.0,1.0,288.60570719522525,ok,1,297.0,307.0,1.0,285.8577943692712,ok,1,297.0,307.0,1.0,285.8577943692712,ok,1,297.0,307.0,1.0,285.8577943692712,ok
8,Low,0.5,Delhi-Jaipur,tata_punch,Tata Punch EV,35.0,6.0,83.6,night,5,285.8,1,384.0,488.0,6.0,336.23170527569556,ok,1,354.0,396.0,3.0,325.8652099838064,ok,1,315.0,408.0,3.0,303.6633723569006,ok,1,327.0,403.0,3.0,310.5136106817745,ok,1,327.0,403.0,3.0,310.5136106817745,ok,1,320.0,357.0,2.0,307.7079034865492,ok,1,320.0,357.0,2.0,307.7079034865492,ok,1,320.0,357.0,2.0,307.7079034865492,ok
9,Low,0.5,Delhi-Jaipur,kia_ev6,Kia EV6,77.4,5.6,86.8,night,10,285.8,1,215.8,0.0,0.0,285.8,ok,1,215.8,0.0,0.0,285.8,ok,1,215.8,0.0,0.0,285.8,ok,1,215.8,0.0,0.0,285.8,ok,1,215.8,0.0,0.0,285.8,ok,1,215.8,0.0,0.0,285.8,ok,1,215.8,0.0,0.0,285.8,ok,1,215.8,0.0,0.0,285.8,ok
10,Low,0.5,Delhi-Jaipur,kia_ev6,Kia EV6,77.4,5.6,74.8,normal,10,285.8,1,237.0,154.0,1.0,295.10456423953116,ok,1,303.0,330.0,1.0,285.8577943692712,ok,1,244.0,220.0,1.0,300.7998707924042,ok,1,238.0,442.0,1.0,288.60570719522525,ok,1,238.0,442.0,1.0,288.60570719522525,ok,1,303.0,330.0,1.0,285.8577943692712,ok,1,303.0,330.0,1.0,285.8577943692712,ok,1,303.0,330.0,1.0,285.8577943692712,ok
11,Low,0.5,Delhi-Jaipur,mahindra_xuv400,Mahindra XUV400,39.4,5.3,89.3,night,4,285.8,1,337.0,494.0,5.0,326.92714103616447,ok,1,305.0,397.0,2.0,307.7079034865492,ok,1,289.0,424.0,3.0,303.6633723569006,ok,1,263.0,373.0,2.0,288.66350156449647,ok,1,263.0,373.0,2.0,288.66350156449647,ok,1,263.0,373.0,2.0,288.66350156449647,ok,1,263.0,373.0,2.0,288.66350156449647,ok,1,263.0,373.0,2.0,288.66350156449647,ok
12,Low,0.5,Delhi-Jaipur,tata_nexon,Tata Nexon EV Max,40.5,5.5,71.4,night,1,285.8,1,388.0,630.0,6.0,336.23170527569556,ok,1,367.0,490.0,3.0,325.8652099838064,ok,1,320.0,529.0,3.0,303.6633723569006,ok,1,332.0,513.0,3.0,310.5136106817745,ok,1,332.0,513.0,3.0,310.5136106817745,ok,1,328.0,462.0,2.0,307.7079034865492,ok,1,328.0,462.0,2.0,307.7079034865492,ok,1,328.0,462.0,2.0,307.7079034865492,ok
13,Low,0.5,Delhi-Jaipur,citroen_ec3,Citroën eC3,29.2,6.5,86.1,normal,2,285.8,1,432.0,760.0,7.0,336.4674410982821,ok,1,400.0,679.0,4.0,326.10094580639293,ok,1,363.0,688.0,4.0,303.89910817948714,ok,1,373.0,685.0,4.0,310.74934650436103,ok,1,373.0,685.0,4.0,310.74934650436103,ok,1,366.0,642.0,3.0,307.94363930913573,ok,1,366.0,642.0,3.0,307.94363930913573,ok,1,366.0,642.0,3.0,307.94363930913573,ok
14,Low,0.5,Delhi-Jaipur,hyundai_ioniq,Hyundai Ioniq 5,72.6,5.8,73.8,night,8,285.8,1,237.0,160.0,1.0,295.10456423953116,ok,1,302.0,325.0,1.0,285.8577943692712,ok,1,244.0,223.0,1.0,300.7998707924042,ok,1,238.0,436.0,1.0,288.60570719522525,ok,1,238.0,436.0,1.0,288.60570719522525,ok,1,302.0,325.0,1.0,285.8577943692712,ok,1,302.0,325.0,1.0,285.8577943692712,ok,1,302.0,325.0,1.0,285.8577943692712,ok
